"id","lang","category","question","eng_ans","fake_ans1","fake_ans2","fake_ans3"
"1","Spanish","Vocabulary","gato","cat","dog","rabbit","mouse"
"2","Spanish","Vocabulary","perro","dog","cat","rabbit","horse"
"3","Spanish","Vocabulary","comer","to eat","to drink","to cook","to bite"
"4","Spanish","Vocabulary","beber","to drink","to eat","to cook","to read"
"5","Spanish","Vocabulary","casa","house","building","apartment","street"
"6","Spanish","Vocabulary","libro","book","notebook","magazine","newspaper"
"7","Spanish","Vocabulary","escuela","school","university","library","classroom"
"8","Spanish","Vocabulary","correr","to run","to walk","to jump","to dance"
"9","Spanish","Vocabulary","caminar","to walk","to run","to drive","to swim"
"10","Spanish","Vocabulary","hablar","to speak","to listen","to read","to write"
"11","Spanish","Vocabulary","escribir","to write","to read","to draw","to speak"
"12","Spanish","Vocabulary","leer","to read","to write","to watch","to listen"
"13","Spanish","Vocabulary","mesa","table","chair","desk","bench"
"14","Spanish","Vocabulary","silla","chair","table","sofa","bed"
"15","Spanish","Vocabulary","puerta","door","window","wall","floor"
"16","Spanish","Vocabulary","ventana","window","door","wall","roof"
"17","Spanish","Vocabulary","amigo","friend","brother","neighbor","coworker"
"18","Spanish","Vocabulary","familia","family","friends","neighbors","coworkers"
"19","Spanish","Vocabulary","coche","car","bike","bus","truck"
"20","Spanish","Vocabulary","bicicleta","bicycle","motorcycle","scooter","car"
"21","Spanish","Vocabulary","tren","train","plane","car","boat"
"22","Spanish","Vocabulary","avión","airplane","boat","train","bus"
"23","Spanish","Vocabulary","barco","boat","ship","submarine","plane"
"24","Spanish","Vocabulary","trabajar","to work","to study","to rest","to play"
"25","Spanish","Vocabulary","estudiar","to study","to learn","to work","to rest"
"26","Spanish","Vocabulary","jugar","to play","to run","to study","to jump"
"27","Spanish","Vocabulary","nadar","to swim","to dive","to surf","to row"
"28","Spanish","Vocabulary","cantar","to sing","to dance","to act","to play"
"29","Spanish","Vocabulary","bailar","to dance","to sing","to jump","to swim"
"30","Spanish","Vocabulary","mirar","to watch","to see","to listen","to observe"
"31","Spanish","Vocabulary","escuchar","to listen","to hear","to speak","to read"
"32","Spanish","Vocabulary","comida","food","meal","drink","dish"
"33","Spanish","Vocabulary","bebida","drink","food","snack","meal"
"34","Spanish","Vocabulary","desayuno","breakfast","lunch","dinner","snack"
"35","Spanish","Vocabulary","almuerzo","lunch","breakfast","dinner","snack"
"36","Spanish","Vocabulary","cena","dinner","lunch","breakfast","dessert"
"37","Spanish","Vocabulary","agua","water","milk","juice","soda"
"38","Spanish","Vocabulary","leche","milk","juice","water","soda"
"39","Spanish","Vocabulary","jugo","juice","soda","milk","water"
"40","Spanish","Vocabulary","cielo","sky","cloud","sun","moon"
"41","Spanish","Vocabulary","sol","sun","moon","star","planet"
"42","Spanish","Vocabulary","luna","moon","sun","star","planet"
"43","Spanish","Vocabulary","estrella","star","moon","sun","planet"
"44","Spanish","Vocabulary","mar","sea","lake","river","ocean"
"45","Spanish","Vocabulary","río","river","lake","sea","stream"
"46","Spanish","Vocabulary","montaña","mountain","hill","cliff","volcano"
"47","Spanish","Vocabulary","bosque","forest","jungle","garden","park"
"48","Spanish","Vocabulary","ciudad","city","town","village","capital"
"49","Spanish","Vocabulary","pueblo","town","city","village","state"
"50","Spanish","Vocabulary","parque","park","garden","forest","playground"
"51","Spanish","Phrases","¿Cómo estás?","How are you?","Where are you?","Who are you?","What are you doing?"
"52","Spanish","Phrases","¿Qué hora es?","What time is it?","Where is it?","When is it?","What day is it?"
