"name","score","lang"
"Emi29","58","Spanish"
"Sora97","114","Spanish"
"Leo80","140","Spanish"
"Noa65","85","Spanish"
"Tomo14","146","Portuguese"
"Leo83","116","Japanese"
"Nina13","75","Spanish"
"Kenji77","96","Japanese"
"Riko33","85","Spanish"
"Alex14","39","Portuguese"
"Sam77","127","Spanish"
"Noa74","73","Japanese"
"Yuki5","48","Portuguese"
"Tomo18","71","Portuguese"
"Riko72","108","Portuguese"
"Sora65","68","Japanese"
"Kenji83","77","Portuguese"
"Alex44","43","Japanese"
"Aki96","73","Japanese"
"Nina73","71","Portuguese"
"Nina33","142","Portuguese"
"Noa63","17","Portuguese"
"Emi59","145","Japanese"
"Kai54","107","Portuguese"
"Sami20","136","Japanese"
"Sami79","110","Spanish"
"Riko3","10","Japanese"
"Mia29","28","Spanish"
"Aria34","71","Japanese"
"Mia69","103","Spanish"
"Kai84","104","Portuguese"
"Aria50","81","Spanish"
"Ren55","43","Japanese"
"Luna32","74","Spanish"
"Aki2","101","Japanese"
"Yuki31","33","Japanese"
"Noa30","53","Japanese"
"Ren11","78","Spanish"
"Kai13","46","Spanish"
"Rio59","150","Spanish"
"Riko30","59","Japanese"
"Kenji86","90","Spanish"
"Nina49","138","Japanese"
"Tomo81","81","Portuguese"
"Ren39","122","Portuguese"
"Ren86","12","Japanese"
"Sora19","149","Spanish"
"Sami4","110","Spanish"
"Alex64","51","Portuguese"
"Sora70","60","Portuguese"
"Sam60","123","Spanish"
"Sam25","92","Portuguese"
"Sora96","93","Japanese"
"Noa32","113","Japanese"
"Hana29","85","Portuguese"
"Sora91","30","Portuguese"
"Kai59","115","Japanese"
"Yuki32","77","Portuguese"
"Yuki12","43","Portuguese"
"Tomo13","74","Japanese"
"Kenji83","47","Spanish"
"Kenji47","71","Spanish"
"Luna88","144","Portuguese"
"Hana15","116","Spanish"
"Rio53","109","Portuguese"
"Rio25","107","Japanese"
"Sora7","107","Japanese"
"Kenji27","95","Portuguese"
"Leo72","148","Portuguese"
"Luna90","119","Portuguese"
"Noa7","70","Portuguese"
"Aki54","136","Spanish"
"Kenji90","149","Portuguese"
"Riko90","113","Spanish"
"Ren35","139","Japanese"
"Noa58","12","Portuguese"
"Emi39","98","Spanish"
"Noa17","99","Spanish"
"Yuki82","44","Japanese"
"Ren83","49","Japanese"
"Kenji93","12","Portuguese"
"Noa84","15","Portuguese"
"Emi66","49","Spanish"
"Aki48","98","Portuguese"
"Hana38","80","Japanese"
"Sora37","114","Japanese"
"Mia9","49","Portuguese"
"Sam85","120","Japanese"
"Noa56","101","Portuguese"
"Aria70","143","Japanese"
"Tomo65","21","Japanese"
"Luna54","59","Japanese"
"Alex1","124","Spanish"
"Ren33","147","Japanese"
"Mia30","45","Japanese"
"Sora97","57","Portuguese"
"Sora17","129","Portuguese"
"Sora17","148","Spanish"
"Hana6","48","Portuguese"
"Emi21","119","Japanese"
"findme","1","Spanish"
"Test","0","Spanish"
"Jamess","13","Spanish"
